# ============================================================================
# GPLOT Model Info Table (Python format)
#
# Column 1: Model ID (ATCF TECH code)
# Column 2: Display label (shown in plot legends)
# Column 3: matplotlib marker string
#           ('o','s','^','v','<','>','*','D','d','p','h','8','P','X','+','x','.')
# Column 4: matplotlib color value. May be any of:
#             - A CSS4/X11 named color (e.g. 'blue', 'darkgoldenrod')
#             - An xkcd color with the 'xkcd:' prefix (e.g. 'xkcd:deep pink')
#             - A hex value (e.g. '#8B0A50')
#             - A grayscale float string in [0,1] (e.g. '0.25')
# Column 5: Long name (optional)
#
# Fields are separated by commas.  Lines starting with '#' are comments.
# This file supersedes ModelInfo.dat (which uses NCL marker indices and
# NCL-only X11 color names).  Python modules prefer this file when present.
# ============================================================================

# OPERATIONAL MODELS #
AP16,                AP16: GEFS(16),  .,                     xkcd:salmon,   Global Ensemble Forecast System (16)
AP17,                AP17: GEFS(17),  .,                xkcd:salmon pink,   Global Ensemble Forecast System (17)
AP18,                AP18: GEFS(18),  .,                xkcd:pinkish red,   Global Ensemble Forecast System (18)
AP19,                AP19: GEFS(19),  .,                  xkcd:brick red,   Global Ensemble Forecast System (19)
AP20,                AP20: GEFS(20),  .,                     sandybrown,   Global Ensemble Forecast System (20)
AP21,                AP21: GEFS(21),  .,                       seagreen,   Global Ensemble Forecast System (21)
AP22,                AP22: GEFS(22),  .,                  xkcd:sea green,   Global Ensemble Forecast System (22)
AP23,                AP23: GEFS(23),  .,                 xkcd:light green,  Global Ensemble Forecast System (23)
AP24,                AP24: GEFS(24),  .,                xkcd:forest green,  Global Ensemble Forecast System (24)
AP25,                AP25: GEFS(25),  .,                  xkcd:dark green,  Global Ensemble Forecast System (25)
AP26,                AP26: GEFS(26),  .,                     xkcd:pink,     Global Ensemble Forecast System (26)
AP27,                AP27: GEFS(27),  .,                xkcd:light pink,    Global Ensemble Forecast System (27)
AP28,                AP28: GEFS(28),  .,                     powderblue,   Global Ensemble Forecast System (28)
AP29,                AP29: GEFS(29),  .,                   xkcd:lavender,   Global Ensemble Forecast System (29)
AP30,                AP30: GEFS(30),  .,                xkcd:light purple,  Global Ensemble Forecast System (30)


# ECMWF ENSEMBLE #
EEMN,                EEMN: EPS Mean,  X,                      turquoise,   EC Ensemble Prediction System Mean
